BioID;TmID;Played;Started;Minutes;Points;Attempts;Made
whiteha01;SAC;1;0;2;0;0;0
walljo01;WAS;69;64;2606;1131;393;301
warrewi01;LAC;19;0;134;37;8;6
vasqugr01;MEM;70;1;860;249;44;34
turneev01;PHI;78;14;1797;565;125;101
udohek01;GSW;58;18;1030;236;64;42
uzohbe01;NJN;42;0;437;158;56;33
stephla01;IND;12;0;115;37;14;11
sypa01;ATL;3;0;21;7;3;3
smithis01;MEM;15;0;113;27;11;5
splitti01;SAS;60;6;738;278;140;76
serapke01;WAS;58;1;635;154;31;22
silerga01;PHO;21;0;101;45;22;11
samuesa01;CLE;37;10;701;288;110;68
sandela01;MIL;60;12;872;260;50;28
pondequ01;NOH;66;6;734;188;34;24
rautian01;NYK;5;0;24;8;2;1
pekovni01;MIN;65;11;887;359;114;87
pittmde01;MIA;2;0;11;2;0;0
pattepa01;HOU;52;6;868;328;42;30
owensla01;WAS;5;0;112;31;5;2
nealga01;SAS;80;1;1685;783;104;84
n_diaha01;WAS;16;0;80;14;12;6
mozgoti01;NYK;34;14;458;135;44;31
monrogr01;DET;80;48;2222;751;233;145
linje01;GSW;29;0;284;76;25;19
masonro01;NYK;26;0;319;75;10;7
lawalga01;PHO;1;0;2;0;0;0
jonesdo02;DAL;18;0;135;42;17;14
johnsch03;BOS;4;0;32;6;2;2
johnswe01;MIN;79;63;2069;709;92;64
johnsar02;POR;38;0;277;110;22;13
jetereu01;SAC;62;1;858;255;41;37
henryxa01;MEM;38;16;527;165;52;33
jamesda01;NJN;25;9;403;110;28;18
haywago01;UTA;72;17;1218;388;97;69
haywala01;MIN;42;0;419;160;42;33
harrima01;CLE;54;15;933;321;93;71
haranlu01;BOS;28;0;241;63;8;5
georgpa01;IND;61;19;1265;476;101;77
fieldla01;NYK;82;81;2541;797;147;113
forbega01;DEN;63;11;791;326;87;59
favorde01;UTA;22;4;444;180;57;32
eyengch01;CLE;44;18;947;303;28;18
ewingpa02;NOH;7;0;19;3;4;3
erdense01;BOS;37;7;531;150;54;34
evansje01;UTA;49;3;463;178;37;26
ebankde01;LAL;20;0;118;62;23;18
davised02;TOR;65;17;1602;501;128;71
dowdeza01;PHO;24;0;292;121;17;16
couside01;SAC;81;62;2309;1143;402;276
crawfjo02;ATL;16;0;160;67;6;4
cousima01;UTA;4;0;18;4;0;0
caracde01;LAL;41;0;215;81;23;17
collish01;CHA;20;0;66;17;1;1
bradlav01;BOS;30;0;162;52;12;6
brackcr01;PHI;3;0;33;8;0;0
bledser01;LAC;81;25;1841;543;133;99
booketr01;WAS;65;14;1063;346;101;68
asikom01;CHI;82;0;989;229;145;73
babbilu01;POR;24;0;137;36;9;3
aminual01;LAC;81;14;1452;457;119;92
anderja01;SAS;26;2;286;94;18;14
alabiso01;TOR;12;0;59;6;2;0
aldrico01;OKC;18;0;141;18;4;2
youngth01;PHI;82;1;2135;1045;174;123
adrieje01;GSW;23;0;196;57;19;11
youngsa01;MEM;78;46;1577;572;116;89
youngni01;WAS;64;40;2034;1115;228;186
wrighdo01;GSW;82;82;3147;1344;228;180
wrighju01;TOR;52;6;766;188;43;22
wrighan01;SAC;7;0;31;2;0;0
wrighbr03;GSW;21;1;195;83;14;7
willite01;NJN;10;0;206;67;10;5
willish02;NYK;17;6;198;66;29;24
willish03;NYK;64;11;1323;454;49;41
willire01;GSW;80;9;1626;738;134;100
willire02;GSW;80;9;1626;738;134;100
willima02;ATL;65;52;1865;676;174;147
willima01;LAC;22;22;723;335;75;66
willija04;CLE;26;1;391;104;12;9
willilo02;PHI;75;0;1747;1027;356;293
willija02;ORL;16;0;171;33;0;0
willide01;UTA;53;53;2009;1129;354;302
wilcoch01;DET;57;29;995;424;89;50
wilkida02;ATL;52;0;676;180;56;40
whitedj01;OKC;23;0;219;65;10;5
westma02;NJN;6;3;116;22;5;3
westbru01;OKC;82;82;2847;1793;631;531
westda01;NOH;70;70;2451;1322;327;264
westde01;BOS;24;2;453;135;15;13
watsoea01;UTA;80;13;1567;343;82;55
weaveky01;UTA;5;0;69;28;8;7
